Geographic area name,,,2012 NAICS code,Meaning of 2012 NAICS code,,,Meaning of Type of operation or tax status code,,Year,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
Illinois,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,502,"560,559","180,023","43,783","6,163",N,N
Illinois,,,62,Health care and social assistance,,,All establishments,,2012,"33,055","83,431,778","32,574,004","7,856,721","770,484","95,168","2,529,741"
Illinois,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"27,624","39,270,333","16,150,834","3,769,181","383,980",N,N
Illinois,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"5,431","44,161,445","16,423,170","4,087,540","386,504",N,N
Illinois,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"4,520","7,400,518","2,348,162","516,676","77,153","47,446","956,485"
Illinois,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"3,564","5,591,893","1,678,294","363,790","49,286",N,N
Illinois,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,956,"1,808,625","669,868","152,886","27,867",N,N
Illinois,,,72,Accommodation and food services,,,Total,,2012,"27,117","27,937,381","7,707,082","1,829,415","469,870","12,620","463,076"
Illinois,,,81,Other services (except public administration),,,All establishments,,2012,"23,334","21,355,529","5,826,640","1,448,775","165,366","151,423","3,381,453"
Illinois,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"18,681","10,571,706","3,334,081","815,846","117,388",N,N
Illinois,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"4,653","10,783,823","2,492,559","632,929","47,978",N,N
Indiana,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,275,"2,511,634","395,819",N,"6,111",858,"40,646"
Indiana,,,22,Utilities,,,Total,,2012,538,Q,"1,293,728","395,402","15,558",303,"8,856"
Indiana,,,23,Construction,,,Total,,2012,"12,200","27,329,545","6,178,493","1,325,405","123,907","45,761","2,308,032"
Indiana,,,42,Wholesale trade,,,Wholesale Trade,,2012,"7,823","127,023,866","5,791,375","1,441,762","110,761","6,450","482,621"
Indiana,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"6,460","81,173,422","4,650,491","1,154,693","91,474",N,N
Indiana,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,476,"35,145,082","914,421","235,606","13,556",N,N
Indiana,,,44-45,Retail trade,,,Total,,2012,"21,601","85,857,962","7,078,665","1,744,772","309,552","38,936","1,393,737"
Indiana,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"5,096","16,994,928","4,438,413","1,063,996","118,242","20,553","1,345,753"
Indiana,,,51,Information,,,Total,,2012,"2,183",N,"2,298,691","585,286","42,361","4,700","117,097"
Indiana,,,52,Finance and insurance,,,Total,,2012,"9,692",N,"5,866,484","1,641,332","96,927","11,853","657,013"
Indiana,,,53,Real estate and rental and leasing,,,Total,,2012,"5,729","6,547,858","1,171,652","295,450","31,715","40,699","3,513,581"
Indiana,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"12,829","14,702,048","5,490,583","1,328,548","99,962","43,583","1,420,670"
Indiana,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"12,780","14,627,492","5,453,321","1,319,528","99,322",N,N
Indiana,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,49,"74,556","37,262","9,020",640,N,N
Indiana,,,55,Management of companies and enterprises,,,Total,,2012,932,"1,244,226","5,372,107","1,714,494","55,515",N,N
Indiana,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"7,106","10,411,317","4,903,744","1,132,033","178,946","33,065","559,277"
Indiana,,,61,Educational services,,,All establishments,,2012,"1,127","691,881","216,447","53,327","9,664","10,177","112,906"
Indiana,,,61,Educational services,,,Establishments subject to federal income tax,,2012,866,"503,946","166,522","40,728","7,171",N,N
Indiana,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,261,"187,935","49,925","12,599","2,493",N,N
Indiana,,,62,Health care and social assistance,,,All establishments,,2012,"15,156","42,493,117","16,208,687","3,882,489","396,923","28,718","754,821"
Indiana,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"12,360","21,191,428","8,625,935","2,029,636","206,531",N,N
Indiana,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"2,796","21,301,689","7,582,752","1,852,853","190,392",N,N
Indiana,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"2,069","3,651,926","940,782","220,186","33,726","18,948","317,915"
Indiana,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,559","3,152,725","761,248","179,075","23,917",N,N
Indiana,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,510,"499,201","179,534","41,111","9,809",N,N
Indiana,,,72,Accommodation and food services,,,Total,,2012,"13,057","13,076,602","3,432,706","836,126","255,223","4,659","168,748"
Indiana,,,81,Other services (except public administration),,,All establishments,,2012,"10,777","8,909,718","2,106,661","513,991","72,937","67,415","1,439,389"
Indiana,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"8,429","5,020,762","1,548,537","380,217","54,735",N,N
Indiana,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"2,348","3,888,956","558,124","133,774","18,202",N,N
Iowa,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,181,"593,817","105,943",N,"2,187",47,"4,080"
Iowa,,,22,Utilities,,,Total,,2012,272,Q,"570,315","149,620","7,656",212,"16,193"
Iowa,,,23,Construction,,,Total,,2012,"7,709","15,619,846","2,945,587","589,133","66,013","26,045","1,478,199"
Iowa,,,42,Wholesale trade,,,Wholesale Trade,,2012,"4,992","76,727,611","3,263,066","772,383","67,124","3,201","254,076"
Iowa,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"4,302","62,318,301","2,841,770","672,521","58,872",N,N
Iowa,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,284,"8,545,307","315,410","74,889","5,558",N,N
Iowa,,,44-45,Retail trade,,,Total,,2012,"12,046","44,905,624","3,865,340","934,040","174,556","22,911","734,880"
Iowa,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"3,499","7,641,208","2,110,520","505,840","55,762","10,203","937,769"
Iowa,,,51,Information,,,Total,,2012,"1,545",N,"1,400,464","358,436","30,342","2,246","57,623"
Iowa,,,52,Finance and insurance,,,Total,,2012,"6,071",N,"5,780,472","1,684,264","91,750","7,878","499,797"
Iowa,,,53,Real estate and rental and leasing,,,Total,,2012,"2,742","2,268,333","425,852","101,312","12,031","21,242","1,842,971"
Iowa,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"6,204","6,420,586","2,466,774","589,787","48,521","19,915","610,525"
Iowa,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"6,169","6,396,940","2,454,900","586,896","48,261",N,N
Iowa,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,35,"23,646","11,874","2,891",260,N,N
Iowa,,,55,Management of companies and enterprises,,,Total,,2012,534,"891,347","1,192,496","303,240","15,142",N,N
Iowa,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"3,560","4,077,528","2,048,885","476,124","73,721","14,144","243,416"
Iowa,,,61,Educational services,,,All establishments,,2012,451,"478,593","147,864","35,394","4,935","4,092","44,472"
Iowa,,,61,Educational services,,,Establishments subject to federal income tax,,2012,363,"133,674","43,585","9,780","2,769",N,N
Iowa,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,88,"344,919","104,279","25,614","2,166",N,N
Iowa,,,62,Health care and social assistance,,,All establishments,,2012,"8,131","18,583,828","7,894,442","1,890,211","206,906","21,161","446,873"
Iowa,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"5,582","7,151,221","3,356,825","756,444","78,961",N,N
Iowa,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"2,549","11,432,607","4,537,617","1,133,767","127,945",N,N
Iowa,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"1,466","1,625,985","363,745","83,919","21,233","9,227","153,998"
Iowa,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,993,"1,305,549","255,506","59,873","13,165",N,N
Iowa,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,473,"320,436","108,239","24,046","8,068",N,N
Iowa,,,72,Accommodation and food services,,,Total,,2012,"7,047","5,468,687","1,466,587","348,886","115,134","2,623","106,861"
Iowa,,,81,Other services (except public administration),,,All establishments,,2012,"5,866","3,343,224","847,726","205,191","30,672","30,501","722,565"
Iowa,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"4,687","2,103,574","598,876","143,269","23,537",N,N
Iowa,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"1,179","1,239,650","248,850","61,922","7,135",N,N
Kansas,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,870,"7,147,410","666,140 (r)",N,"11,291 (r)","6,248","414,584"
Kansas,,,22,Utilities,,,Total,,2012,230,Q,"607,926","168,068","7,263",146,"6,827"
Kansas,,,23,Construction,,,Total,,2012,"6,076","13,654,410","2,675,571","585,872","58,819","20,097","1,051,393"
Kansas,,,42,Wholesale trade,,,Wholesale Trade,,2012,"4,565","103,967,873","3,700,643","928,278","65,118","3,100","245,195"
Kansas,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"3,790","60,226,324","3,055,385","763,850","52,168",N,N
Kansas,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,269,"37,773,717","518,717","135,273","9,942",N,N
Kansas,,,44-45,Retail trade,,,Total,,2012,"10,548","38,276,461","3,325,005","823,250","145,480","19,940","755,157"
Kansas,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"2,510","6,560,969","1,968,257","507,732","50,019","6,964","608,865"
Kansas,,,51,Information,,,Total,,2012,"1,406",N,"2,026,163","588,555","34,052","2,228","65,901"
Kansas,,,52,Finance and insurance,,,Total,,2012,"5,976",N,"3,716,984","994,714","59,099","7,713","452,800"
Kansas,,,53,Real estate and rental and leasing,,,Total,,2012,"2,999","2,743,054","507,551","122,230","14,256","18,851","1,712,324"
Kansas,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"7,110","8,716,125","3,596,156","888,575","60,989","22,784","787,006"
Kansas,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"7,071","8,562,621","3,577,103","883,830","60,615",N,N
Kansas,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,39,"153,504","19,053","4,745",374,N,N
Kansas,,,55,Management of companies and enterprises,,,Total,,2012,620,"1,257,327","1,836,567","463,881","20,038",N,N
Kansas,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"3,442","4,466,496","2,105,596","495,100","70,236","14,444","286,975"
Kansas,,,61,Educational services,,,All establishments,,2012,475,"450,269","123,404","29,936","3,998","4,353","52,806"
Kansas,,,61,Educational services,,,Establishments subject to federal income tax,,2012,402,"318,518","99,162","24,112","3,330",N,N
Kansas,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,73,"131,751","24,242","5,824",668,N,N
Kansas,,,62,Health care and social assistance,,,All establishments,,2012,"7,934","18,248,370","7,504,615","1,801,852","192,272","15,973","450,104"
Kansas,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"5,977","9,677,833","3,955,395","929,631","93,121",N,N
Kansas,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"1,957","8,570,537","3,549,220","872,221","99,151",N,N
Kansas,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"1,000","884,432","251,588","58,765","14,341","9,021","135,390"
Kansas,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,668,"615,661","170,225","40,578","9,807",N,N
Kansas,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,332,"268,771","81,363","18,187","4,534",N,N
Kansas,,,72,Accommodation and food services,,,Total,,2012,"5,943","4,873,411","1,342,931","329,663","106,850","2,536","98,200"
Kansas,,,81,Other services (except public administration),,,All establishments,,2012,"5,147","3,432,989","849,195","205,949","29,521","27,770","674,459"
Kansas,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"3,957","1,920,430","559,994","133,342","21,148",N,N
Kansas,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"1,190","1,512,559","289,201","72,607","8,373",N,N
Kentucky,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,536,"8,184,526","1,330,573",N,"19,939","1,868","106,439"
Kentucky,,,22,Utilities,,,Total,,2012,340,Q,"699,968","187,681","8,685",174,"7,985"
Kentucky,,,23,Construction,,,Total,,2012,"6,680","13,500,602","2,758,442","606,114","64,026","39,481","1,904,651"
Kentucky,,,42,Wholesale trade,,,Wholesale Trade,,2012,"4,324","100,076,812","3,679,171","924,545","67,581","4,309","344,333"
Kentucky,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"3,690","71,745,899","3,090,290","771,432","57,630",N,N
Kentucky,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,251,"23,642,165","488,038","129,125","7,596",N,N
Kentucky,,,44-45,Retail trade,,,Total,,2012,"15,224","54,869,978","4,619,173","1,138,815","202,615","27,705","1,278,178"
Kentucky,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"2,910","12,816,316","3,858,796","957,926","84,757","12,840","934,471"
Kentucky,,,51,Information,,,Total,,2012,"1,552",N,"1,393,239","368,522","33,009","2,727","80,896"
Kentucky,,,52,Finance and insurance,,,Total,,2012,"6,346",N,"3,838,354","1,126,636","67,888","7,348","412,379"
Kentucky,,,53,Real estate and rental and leasing,,,Total,,2012,"3,534","4,845,505","637,348","169,695","18,250","26,500","2,191,923"
Kentucky,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"8,101","7,782,465","2,816,706","681,164","62,851","28,207","1,019,618"
Kentucky,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"8,064","7,746,750","2,799,275","676,787","62,431",N,N
Kentucky,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,37,"35,715","17,431","4,377",420,N,N
Kentucky,,,55,Management of companies and enterprises,,,Total,,2012,708,"1,000,913","2,646,913","719,070","31,465",N,N
Kentucky,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"3,925","5,226,699","2,369,792","551,525","93,839","28,190","471,921"
Kentucky,,,61,Educational services,,,All establishments,,2012,569,"244,197","86,419","20,705","4,024","5,706","64,319"
Kentucky,,,61,Educational services,,,Establishments subject to federal income tax,,2012,454,"184,239","65,605","15,490","3,251",N,N
Kentucky,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,115,"59,958","20,814","5,215",773,N,N
Kentucky,,,62,Health care and social assistance,,,All establishments,,2012,"11,425","26,264,745","10,184,137","2,491,458","251,878","17,987","543,992"
Kentucky,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"9,449","11,985,232","5,178,232","1,231,951","127,446",N,N
Kentucky,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"1,976","14,279,513","5,005,905","1,259,507","124,432",N,N
Kentucky,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"1,242","1,206,777","349,389","77,472","17,360","11,970","240,299"
Kentucky,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,931,"862,327","237,627","53,098","11,322",N,N
Kentucky,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,311,"344,450","111,762","24,374","6,038",N,N
Kentucky,,,72,Accommodation and food services,,,Total,,2012,"7,678","7,500,115","2,083,517","499,800","156,965","3,160","132,414"
Kentucky,,,81,Other services (except public administration),,,All establishments,,2012,"5,849","4,071,426","1,089,953","264,182","38,364","48,405","1,125,716"
Kentucky,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"4,793","2,830,653","850,207","206,819","31,452",N,N
Kentucky,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"1,056","1,240,773","239,746","57,363","6,912",N,N
Louisiana,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,"1,514","26,605,770","3,527,483",N,"54,065","6,373","517,414"
Louisiana,,,22,Utilities,,,Total,,2012,517,Q,"884,069","275,440","11,132",233,"7,640"
Louisiana,,,23,Construction,,,Total,,2012,"7,320","26,231,623","7,318,858","1,714,047","136,437","37,774","2,129,709"
Louisiana,,,42,Wholesale trade,,,Wholesale Trade,,2012,"5,610","86,300,969","4,008,334","975,073","76,773","4,451","372,916"
Louisiana,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"4,823","68,012,838","3,260,170","786,623","64,259",N,N
Louisiana,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,445,"14,843,508","660,761","170,109","10,371",N,N
Louisiana,,,44-45,Retail trade,,,Total,,2012,"16,743","61,396,364","5,334,620","1,300,827","220,257","24,929","1,055,796"
Louisiana,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"3,764","15,109,762","3,778,984","943,244","70,059","15,250","1,030,194"
Louisiana,,,51,Information,,,Total,,2012,"1,426",N,"1,273,636","331,163","24,743","3,071","96,275"
Louisiana,,,52,Finance and insurance,,,Total,,2012,"7,716",N,"3,642,903","961,238","64,813","9,928","676,721"
Louisiana,,,53,Real estate and rental and leasing,,,Total,,2012,"4,500","7,486,430","1,461,417","347,979","31,298","31,735","2,725,455"
Louisiana,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"11,728","13,546,170","5,022,913","1,145,582","88,093","38,071","1,794,815"
Louisiana,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"11,669","13,417,439","4,986,517","1,136,773","87,367",N,N
Louisiana,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,59,"128,731","36,396","8,809",726,N,N
Louisiana,,,55,Management of companies and enterprises,,,Total,,2012,638,"1,072,347","2,202,284","709,052","25,019",N,N
Louisiana,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"4,576","6,743,533","2,971,933","704,034","103,246","37,476","655,019"
Louisiana,,,61,Educational services,,,All establishments,,2012,673,"423,345","140,729","37,442","6,248","6,405","83,018"
Louisiana,,,61,Educational services,,,Establishments subject to federal income tax,,2012,552,"355,433","114,499","30,914","4,972",N,N
Louisiana,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,121,"67,912","26,230","6,528","1,276",N,N
Louisiana,,,62,Health care and social assistance,,,All establishments,,2012,"11,999","27,951,792","10,646,864","2,582,731","284,979","30,116","962,306"
Louisiana,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"10,240","15,869,857","6,156,935","1,422,625","167,792",N,N
Louisiana,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"1,759","12,081,935","4,489,929","1,160,106","117,187",N,N
Louisiana,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"1,376","2,661,106","719,787","173,291","23,386","14,377","335,148"
Louisiana,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,085","2,224,688","606,354","146,427","18,036",N,N
Louisiana,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,291,"436,418","113,433","26,864","5,350",N,N
Louisiana,,,72,Accommodation and food services,,,Total,,2012,"9,019","11,697,949","3,110,743","765,684","193,928","7,404","340,058"
Louisiana,,,81,Other services (except public administration),,,All establishments,,2012,"6,293","5,408,889","1,479,224","357,938","43,500","64,493","1,464,234"
Louisiana,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"5,092","3,915,978","1,216,458","292,759","36,098",N,N
Louisiana,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"1,201","1,492,911","262,766","65,179","7,402",N,N
Maine,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,18,"23,158 (r)","4,628",N,94,88,"6,730"
Maine,,,22,Utilities,,,Total,,2012,99,Q,"169,783","46,220","2,363",79,"3,591"
Maine,,,23,Construction,,,Total,,2012,"4,554","4,542,602","1,022,935","215,739","25,391","17,244","846,586"
Maine,,,42,Wholesale trade,,,Wholesale Trade,,2012,"1,550","16,369,697","817,652","201,340","16,759","1,584","114,159"
Maine,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"1,344","12,961,262","691,472","168,517","14,753",N,N
Maine,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,79,"2,189,155","96,130","25,776","1,270",N,N
Maine,,,44-45,Retail trade,,,Total,,2012,"6,351","21,521,714","1,884,560","458,399","80,155","9,302","383,458"
Maine,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"1,175","1,728,759","556,978","136,827","14,908","2,916","199,488"
Maine,,,51,Information,,,Total,,2012,845,N,"537,811","135,312","11,952","1,313","31,682"
Maine,,,52,Finance and insurance,,,Total,,2012,"1,899",N,"1,573,562","453,553","25,688","1,918","124,578"
Maine,,,53,Real estate and rental and leasing,,,Total,,2012,"1,580","1,100,357","220,594","50,734","6,242","10,586","896,255"
Maine,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"3,492","3,352,583","1,237,994","284,561","22,943","13,011","431,963"
Maine,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"3,457","3,061,028","1,134,119","260,355","21,188",N,N
Maine,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,35,"291,555","103,875","24,206","1,755",N,N
Maine,,,55,Management of companies and enterprises,,,Total,,2012,213,D,D,D,i,N,N
Maine,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"1,958","1,526,026","598,239","137,122","22,395","7,702","161,232"
Maine,,,61,Educational services,,,All establishments,,2012,341,"256,987","73,518","17,185","2,659","2,656","35,321"
Maine,,,61,Educational services,,,Establishments subject to federal income tax,,2012,217,"80,876","28,400","7,070","1,410",N,N
Maine,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,124,"176,111","45,118","10,115","1,249",N,N
Maine,,,62,Health care and social assistance,,,All establishments,,2012,"4,730","10,297,043","4,393,033","1,062,263","109,231","7,794","222,134"
Maine,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"3,071","3,486,808","1,613,365","378,377","41,700",N,N
Maine,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"1,659","6,810,235","2,779,668","683,886","67,531",N,N
Maine,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,849,"527,038","154,676","32,150","7,305","6,521","113,413"
Maine,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,585,"368,176","96,345","19,657","4,484",N,N
Maine,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,264,"158,862","58,331","12,493","2,821",N,N
Maine,,,72,Accommodation and food services,,,Total,,2012,"3,958","2,901,347","850,757","176,496","49,672","1,707","74,800"
Maine,,,81,Other services (except public administration),,,All establishments,,2012,"2,786","1,462,786","376,311","89,778","13,755","13,953","348,497"
Maine,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"2,041","881,461","242,937","57,943","9,424",N,N
Maine,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,745,"581,325","133,374","31,835","4,331",N,N
Maryland,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,68,"473,551","77,189",N,"1,368",90,"6,736"
Maryland,,,22,Utilities,,,Total,,2012,130,Q,"1,049,972","395,111","9,484",479,"17,783"
Maryland,,,23,Construction,,,Total,,2012,"12,994","37,365,178","7,395,199","1,716,573","144,153","41,048","2,268,044"
Maryland,,,42,Wholesale trade,,,Wholesale Trade,,2012,"5,698","84,733,759","5,378,553","1,311,742","85,955","5,658","478,411"
Maryland,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"4,768","60,734,191","4,378,528","1,055,333","73,369",N,N
Maryland,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,287,"16,121,897","789,500","210,246","8,989",N,N
Maryland,,,44-45,Retail trade,,,Total,,2012,"18,179","76,379,707","7,168,455","1,750,509","281,678","32,584","1,204,457"
Maryland,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"3,348","8,719,207","2,701,292","654,563","64,906","19,207","909,016"
Maryland,,,51,Information,,,Total,,2012,"2,381",N,"4,255,659","1,212,694","56,781","7,041","243,846"
Maryland,,,52,Finance and insurance,,,Total,,2012,"7,583",N,"8,630,124","2,374,431","100,204","12,173","907,330"
Maryland,,,53,Real estate and rental and leasing,,,Total,,2012,"6,001","13,410,069","2,253,231","587,461","42,838","45,969","4,367,209"
Maryland,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"19,714","50,024,915","20,161,207","4,906,938","244,710","73,188","3,424,981"
Maryland,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"19,529",D,D,D,m,N,N
Maryland,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,185,D,D,D,j,N,N
Maryland,,,55,Management of companies and enterprises,,,Total,,2012,"1,246",D,D,D,l,N,N
Maryland,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"7,950","13,649,044","6,374,665","1,509,287","182,659","37,884","835,654"
Maryland,,,61,Educational services,,,All establishments,,2012,"1,517",D,D,D,j,"15,365","223,555"
Maryland,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"1,206",D,D,D,j,N,N
Maryland,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,311,D,D,D,h,N,N
Maryland,,,62,Health care and social assistance,,,All establishments,,2012,"16,000","40,821,901","16,319,858","3,959,538","359,734","50,530","1,509,252"
Maryland,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"13,217","18,823,430","7,784,648","1,826,112","168,241",N,N
Maryland,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"2,783","21,998,471","8,535,210","2,133,426","191,493",N,N
Maryland,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"1,960","3,390,823","1,062,017","209,839","35,932","26,046","537,275"
Maryland,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,561","2,726,870","806,287","152,140","24,878",N,N
Maryland,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,399,"663,953","255,730","57,699","11,054",N,N
Maryland,,,72,Accommodation and food services,,,Total,,2012,"11,344","12,516,782","3,410,520","799,371","204,222","6,759","262,268"
Maryland,,,81,Other services (except public administration),,,All establishments,,2012,"9,978","10,879,661","2,928,525","731,656","79,391","60,524","1,541,168"
Maryland,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"7,877","5,195,805","1,677,916","403,303","57,077",N,N
Maryland,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"2,101","5,683,856","1,250,609","328,353","22,314",N,N
Massachusetts,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,73,"328,214","73,783",N,"1,110",85,"4,714"
Massachusetts,,,22,Utilities,,,Total,,2012,274,Q,"1,324,451","362,625","13,305",381,"29,525"
Massachusetts,,,23,Construction,,,Total,,2012,"15,695","33,824,349","6,859,635","1,475,925","120,749","55,558","3,882,960"
